Date,Open,High,Low,Close,Adj Close,Volume
01-04-2022,8.5,8.62,8.4,8.62,8.177702,42898338
04-04-2022,8.65,9.05,8.62,9.04,8.576152,77741254
06-04-2022,8.88,8.91,8.39,8.42,7.987964,69803643
07-04-2022,8.24,8.5,8.23,8.29,7.864635,60436072
08-04-2022,8.45,8.63,8.4,8.5,8.06386,37540013
11-04-2022,8.42,8.47,8.1,8.12,7.703358,30688388
12-04-2022,8.1,8.2,7.65,7.78,7.380804,55561131
13-04-2022,7.76,7.76,7.48,7.72,7.323882,41103163
14-04-2022,7.77,7.87,7.7,7.75,7.352343,40897199
19-04-2022,7.74,7.89,7.54,7.67,7.276447,46285416
20-04-2022,7.67,8.04,7.67,7.9,7.494646,37316859
21-04-2022,7.9,7.96,7.7,7.78,7.380804,24936018
22-04-2022,7.63,7.78,7.5,7.75,7.352343,32360109
25-04-2022,7.6,7.65,7.39,7.45,7.067736,25206297
26-04-2022,7.5,7.63,7.09,7.14,6.773642,63618051
27-04-2022,7.06,7.27,6.97,7.2,6.830563,56857757
28-04-2022,7.29,7.44,7.16,7.36,6.982354,30697722
29-04-2022,7.32,7.72,7.29,7.68,7.285934,54210342
03-05-2022,7.6,7.62,7.42,7.58,7.191065,29138517
04-05-2022,7.54,7.65,7.48,7.61,7.219526,13729663
05-05-2022,7.76,7.88,7.65,7.68,7.285934,27570304
06-05-2022,7.57,8.06,7.52,7.84,7.437725,71204376
10-05-2022,7.57,8.12,7.51,8.07,7.655923,84301517
11-05-2022,8.15,8.43,8.12,8.23,7.807713,68641601
12-05-2022,8.16,8.24,7.91,7.98,7.570541,68215165
13-05-2022,7.98,8.06,7.85,7.99,7.580028,41648399
16-05-2022,7.99,8.07,7.87,7.93,7.523107,29431293
17-05-2022,8.09,8.28,8.09,8.24,7.8172,40691961
18-05-2022,8.11,8.36,8.11,8.27,7.845662,40493850
19-05-2022,8.05,8.17,7.79,7.84,7.437725,54989221
20-05-2022,8,8.07,7.89,8.01,7.599002,33077661
23-05-2022,7.94,7.96,7.68,7.73,7.333369,41623978
24-05-2022,7.62,7.7,7.32,7.37,6.991841,63682724
25-05-2022,7.37,7.43,7.15,7.19,6.821077,78210608
26-05-2022,7.19,7.29,7.07,7.27,6.896972,77663458
27-05-2022,7.4,7.53,7.34,7.5,7.11517,67979909
30-05-2022,7.55,7.73,7.51,7.59,7.200552,41392326
31-05-2022,7.54,7.75,7.54,7.74,7.342855,56499028
01-06-2022,7.75,7.77,7.62,7.63,7.2385,42381400
02-06-2022,7.48,7.52,7.35,7.47,7.086709,62218536
06-06-2022,7.47,7.73,7.33,7.71,7.314395,43081116
07-06-2022,7.55,7.89,7.53,7.78,7.380804,43099723
08-06-2022,7.81,7.9,7.71,7.78,7.380804,43007843
09-06-2022,7.71,7.85,7.64,7.72,7.323882,37372925
10-06-2022,7.62,7.77,7.5,7.75,7.352343,167028390
13-06-2022,7.46,7.54,7.4,7.5,7.11517,47589096
14-06-2022,7.41,7.64,7.36,7.57,7.181579,45491658
15-06-2022,7.45,7.5,7.2,7.29,6.915946,68509743
16-06-2022,7.26,7.32,7.06,7.13,6.764155,63092109
17-06-2022,7.03,7.31,7.03,7.19,6.821077,56572865
20-06-2022,7.16,7.37,7.12,7.34,6.96338,26423351
21-06-2022,7.34,7.46,7.26,7.43,7.048762,28642225
22-06-2022,7.36,7.52,7.23,7.24,6.868511,28305009
23-06-2022,7.26,7.41,7.23,7.32,6.944407,36795603
24-06-2022,7.32,7.47,7.31,7.43,7.048762,26053304
27-06-2022,7.49,7.82,7.48,7.78,7.380804,75952691
28-06-2022,7.7,7.88,7.66,7.84,7.437725,54625863
29-06-2022,7.75,7.97,7.6,7.65,7.257474,38466065
30-06-2022,7.5,7.59,7.3,7.33,6.953893,60877184
04-07-2022,7.29,7.34,7.16,7.28,6.906459,39173457
05-07-2022,7.35,7.47,7.19,7.21,6.84005,41160674
06-07-2022,7.2,7.21,7.05,7.18,6.81159,55776108
07-07-2022,7.06,7.18,7.06,7.15,6.783129,32023326
08-07-2022,7.26,7.28,7.08,7.15,6.783129,31712601
11-07-2022,7.08,7.14,7.05,7.1,6.735694,23272889
12-07-2022,7.13,7.18,7.04,7.06,6.697747,25212326
13-07-2022,7.09,7.11,6.99,7.05,6.688261,34956370
14-07-2022,7.07,7.21,7.04,7.19,6.821077,25575206
15-07-2022,7.15,7.18,7.02,7.09,6.726208,19549133
18-07-2022,7.15,7.22,6.96,7.18,6.81159,77231502
19-07-2022,7.04,7.19,7.04,7.15,6.783129,28333130
20-07-2022,7.16,7.3,7.16,7.25,6.877998,40169610
21-07-2022,7.21,7.37,7.2,7.32,6.944407,28952604
22-07-2022,7.36,7.39,7.29,7.36,6.982354,32428767
25-07-2022,7.34,7.51,7.34,7.51,7.124658,45382397
26-07-2022,7.5,7.53,7.43,7.48,7.096197,30212733
27-07-2022,7.46,7.59,7.43,7.59,7.200552,37097108
28-07-2022,7.59,7.72,7.54,7.65,7.257474,42257011
29-07-2022,7.6,7.73,7.55,7.59,7.200552,36643389
01-08-2022,7.28,7.39,7.14,7.15,7.06227,41330409
02-08-2022,7.11,7.21,7,7.03,6.943743,31004647
03-08-2022,7.07,7.14,6.86,6.9,6.815338,36637261
04-08-2022,6.95,7.05,6.91,6.97,6.884479,29832761
05-08-2022,7.1,7.19,7,7.15,7.06227,22384519
08-08-2022,7.03,7.16,7,7.12,7.032638,18904086
09-08-2022,7.16,7.19,7.04,7.05,6.963497,23039610
10-08-2022,7.06,7.1,6.88,6.9,6.815338,40886136
11-08-2022,7,7.25,6.83,7.13,7.042516,43339034
